0, 92.2758, 29.8527, {-2.006302671,-2.871844106,-0.8971510762,2.889433994,-1.004748287}
1, 87.4898, 11.2623, {0.01441406074,0.9760635875,1.171813401,-1.082720592,0.9872034967}
2, 80.6939, 11.2623, {0.01441406074,0.9760635875,1.171813401,-1.082720592,0.9872034967}
3, 69.9327, 8.59896, {1.012669884,0.1553567229,-0.07444010016,-0.03302074943,0.9296716926}
4, 58.0624, 8.59896, {1.012669884,0.1553567229,-0.07444010016,-0.03302074943,0.9296716926}
5, 49.4698, 6.94231, {-1.042815913,-0.0994986758,-0.07549433746,0.05045858093,0.9236015607}
6, 40.8402, 6.94231, {-1.042815913,-0.0994986758,-0.07549433746,0.05045858093,0.9236015607}
7, 32.9844, 4.9357, {-0.008538871686,0.04958590377,-0.9733504072,0.8836048127,0.00783384974}
8, 28.6717, 4.9357, {-0.008538871686,0.04958590377,-0.9733504072,0.8836048127,0.00783384974}
9, 24.4882, 3.50778, {-0.05731448703,-0.005403570468,-0.9600719113,0.9615082376,0.04544366543}
10, 20.921, 3.50778, {-0.05731448703,-0.005403570468,-0.9600719113,0.9615082376,0.04544366543}
11, 17.5946, 3.50778, {-0.05731448703,-0.005403570468,-0.9600719113,0.9615082376,0.04544366543}
12, 15.5311, 3.01503, {-1.001831559,0.0007569294514,1.027615168,-0.02916410972,0.05692857569}
13, 13.3575, 3.01503, {-1.001831559,0.0007569294514,1.027615168,-0.02916410972,0.05692857569}
14, 11.7949, 2.81046, {-1.001627204,0.009941303689,1.020643196,0.01676565951,0.0555321785}
15, 10.2685, 2.81046, {-1.001627204,0.009941303689,1.020643196,0.01676565951,0.0555321785}
16, 9.21006, 2.33623, {-0.9894054414,-0.008915422008,1.029267803,-0.02098814724,-0.004561097484}
17, 7.89701, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
18, 7.24378, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
19, 6.80071, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
20, 5.78123, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
21, 5.31422, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
22, 4.91847, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
23, 4.68237, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
24, 4.28565, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
25, 4.02712, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
26, 3.90794, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
27, 3.64722, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
28, 3.5035, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
29, 3.21254, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
30, 3.31496, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
31, 2.98707, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
32, 2.91755, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
33, 2.77045, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
34, 2.53273, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
35, 2.49115, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
36, 2.35402, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
37, 2.34469, 1.93627, {-0.0579595474,0.02816758112,0.002393034217,0.9704291255,-0.005085711292}
