0, 92.7576, 28.1052, {-0.9600404674,3.035458955,-0.03102729852,-1.26704952,-1.132323411}
1, 86.4584, 8.96468, {0.9740165911,0.03874504404,1.983669286,-0.1060229941,1.042959658}
2, 78.409, 8.96468, {0.9740165911,0.03874504404,1.983669286,-0.1060229941,1.042959658}
3, 67.0953, 8.96468, {0.9740165911,0.03874504404,1.983669286,-0.1060229941,1.042959658}
4, 58.441, 8.96468, {0.9740165911,0.03874504404,1.983669286,-0.1060229941,1.042959658}
5, 50.7508, 8.96468, {0.9740165911,0.03874504404,1.983669286,-0.1060229941,1.042959658}
6, 42.9047, 8.15852, {-0.92568275,-1.081648787,0.02218782213,-0.9405527044,-1.07019118}
7, 34.1794, 3.96406, {-0.9631485153,0.05314380087,0.04656281564,0.03477569893,-1.047935541}
8, 28.6999, 3.96406, {-0.9631485153,0.05314380087,0.04656281564,0.03477569893,-1.047935541}
9, 23.056, 3.96406, {-0.9631485153,0.05314380087,0.04656281564,0.03477569893,-1.047935541}
10, 20.3818, 3.96406, {-0.9631485153,0.05314380087,0.04656281564,0.03477569893,-1.047935541}
11, 16.7243, 3.96406, {-0.9631485153,0.05314380087,0.04656281564,0.03477569893,-1.047935541}
12, 14.7447, 3.48653, {-0.955709782,-0.02161436641,0.04091562769,0.03384171111,-1.047494687}
13, 12.0204, 0.743098, {0.01491228717,0.04819076772,0.009588652873,0.03277843568,0.007488900317}
14, 10.5702, 0.743098, {0.01491228717,0.04819076772,0.009588652873,0.03277843568,0.007488900317}
15, 9.04813, 0.743098, {0.01491228717,0.04819076772,0.009588652873,0.03277843568,0.007488900317}
16, 8.02166, 0.725827, {0.009542708649,0.04162319399,0.01427784733,0.03388561615,-0.02231560806}
17, 7.29953, 0.725827, {0.009542708649,0.04162319399,0.01427784733,0.03388561615,-0.02231560806}
18, 6.55068, 0.494538, {-0.004756418514,-0.001314159717,-0.01754334271,0.03319151908,-0.03266394136}
19, 5.95743, 0.341451, {-0.01086512317,0.009160604887,0.003152650954,0.03335569129,-0.02003055044}
20, 5.41977, 0.323254, {0.00501085415,-0.002805319897,0.01341014063,0.03695645129,-0.007549441018}
